week	id	location	sp	biomass	fgroup	stage	age	reped	chrm1	chrm2	radius
1	p1-1	(2710, 7248, 1)	p1	Dict("veg"=>99.5781)	p1	a	1	false	A	A	2
1	p1-2	(2579, 6654, 1)	p1	Dict("veg"=>99.5555)	p1	a	1	false	A	A	2
1	p2-3	(3755, 815, 1)	p2	Dict("veg"=>99.6326)	p2	a	1	false	A	A	2
1	p2-4	(1233, 1806, 1)	p2	Dict("veg"=>99.6413)	p2	a	1	false	A	A	2
1	p3-5	(7108, 147, 1)	p3	Dict("veg"=>99.5596)	p3	a	1	false	A	A	2
1	p3-6	(1228, 3798, 1)	p3	Dict("veg"=>100.139)	p3	a	1	false	A	A	2
1	p4-7	(4681, 5658, 1)	p4	Dict("veg"=>101.157)	p4	a	1	false	A	A	2
1	p4-8	(4862, 565, 1)	p4	Dict("veg"=>99.5645)	p4	a	1	false	A	A	2
1	p5-9	(2737, 5663, 1)	p5	Dict("veg"=>100.033)	p5	a	1	false	A	A	2
1	p5-10	(2464, 3066, 1)	p5	Dict("veg"=>99.1279)	p5	a	1	false	A	A	2
1	p6-11	(6894, 2451, 1)	p6	Dict("veg"=>99.8278)	p6	a	1	false	A	A	2
1	p6-12	(264, 290, 1)	p6	Dict("veg"=>99.8788)	p6	a	1	false	A	A	2
1	p7-13	(4975, 590, 1)	p7	Dict("veg"=>100.766)	p7	a	1	false	A	A	2
1	p7-14	(3987, 5642, 1)	p7	Dict("veg"=>98.4284)	p7	a	1	false	A	A	2
1	p8-15	(6094, 5038, 1)	p8	Dict("veg"=>100.585)	p8	a	1	false	A	A	2
1	p8-16	(451, 6001, 1)	p8	Dict("veg"=>100.015)	p8	a	1	false	A	A	2
1	p9-17	(3380, 7372, 1)	p9	Dict("veg"=>99.6821)	p9	a	1	false	A	A	2
1	p9-18	(869, 3050, 1)	p9	Dict("veg"=>100.333)	p9	a	1	false	A	A	2
1	p10-19	(3450, 6406, 1)	p10	Dict("veg"=>99.7486)	p10	a	1	false	A	A	2
1	p10-20	(6892, 4709, 1)	p10	Dict("veg"=>100.513)	p10	a	1	false	A	A	2
1	p11-21	(1374, 5079, 1)	p11	Dict("veg"=>99.8478)	p11	a	1	false	A	A	2
1	p11-22	(6277, 3034, 1)	p11	Dict("veg"=>100.424)	p11	a	1	false	A	A	2
1	p12-23	(4690, 5418, 1)	p12	Dict("veg"=>100.711)	p12	a	1	false	A	A	2
1	p12-24	(3248, 4337, 1)	p12	Dict("veg"=>100.159)	p12	a	1	false	A	A	2
1	p13-25	(635, 7113, 1)	p13	Dict("veg"=>99.5316)	p13	a	1	false	A	A	2
1	p13-26	(6206, 6623, 1)	p13	Dict("veg"=>100.641)	p13	a	1	false	A	A	2
1	p14-27	(6273, 5259, 1)	p14	Dict("veg"=>100.23)	p14	a	1	false	A	A	2
1	p14-28	(534, 6682, 1)	p14	Dict("veg"=>100.853)	p14	a	1	false	A	A	2
1	p15-29	(3639, 6259, 1)	p15	Dict("veg"=>99.0399)	p15	a	1	false	A	A	2
1	p15-30	(6413, 4956, 1)	p15	Dict("veg"=>100.835)	p15	a	1	false	A	A	2
1	p16-31	(5678, 4302, 1)	p16	Dict("veg"=>99.7974)	p16	a	1	false	A	A	2
1	p16-32	(1088, 2229, 1)	p16	Dict("veg"=>100.668)	p16	a	1	false	A	A	2
1	p17-33	(4555, 6475, 1)	p17	Dict("veg"=>99.654)	p17	a	1	false	A	A	2
1	p17-34	(5160, 3127, 1)	p17	Dict("veg"=>99.2456)	p17	a	1	false	A	A	2
