week	id	location	sp	biomass	fgroup	stage	age	reped	chrm1	chrm2	radius
1	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	1	false	A	A	2
1	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	1	false	A	A	2
2	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	2	false	A	A	2
2	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	2	false	A	A	2
3	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	3	false	A	A	2
3	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	3	false	A	A	2
4	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	4	false	A	A	2
4	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	4	false	A	A	2
5	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	5	false	A	A	2
5	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	5	false	A	A	2
6	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	6	false	A	A	2
6	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	6	false	A	A	2
7	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	7	false	A	A	2
7	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	7	false	A	A	2
8	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	8	false	A	A	2
8	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	8	false	A	A	2
9	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	9	false	A	A	2
9	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	9	false	A	A	2
10	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	10	false	A	A	2
10	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	10	false	A	A	2
11	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5781)	p1	a	11	false	A	A	2
11	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5555)	p1	a	11	false	A	A	2
12	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5896)	p1	a	12	false	A	A	2
12	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5672)	p1	a	12	false	A	A	2
13	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6014)	p1	a	13	false	A	A	2
13	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5788)	p1	a	13	false	A	A	2
14	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6133)	p1	a	14	false	A	A	2
14	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5905)	p1	a	14	false	A	A	2
15	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6253)	p1	a	15	false	A	A	2
15	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6024)	p1	a	15	false	A	A	2
16	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.637)	p1	a	16	false	A	A	2
16	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6142)	p1	a	16	false	A	A	2
17	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6487)	p1	a	17	false	A	A	2
17	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.626)	p1	a	17	false	A	A	2
18	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6606)	p1	a	18	false	A	A	2
18	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6379)	p1	a	18	false	A	A	2
19	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6723)	p1	a	19	false	A	A	2
19	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6495)	p1	a	19	false	A	A	2
20	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6841)	p1	a	20	false	A	A	2
20	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6614)	p1	a	20	false	A	A	2
21	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6958)	p1	a	21	false	A	A	2
21	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6729)	p1	a	21	false	A	A	2
22	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.7075)	p1	a	22	false	A	A	2
22	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6845)	p1	a	22	false	A	A	2
23	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.7194)	p1	a	23	false	A	A	2
23	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6962)	p1	a	23	false	A	A	2
24	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.7309)	p1	a	24	false	A	A	2
24	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.7079)	p1	a	24	false	A	A	2
25	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.7427)	p1	a	25	false	A	A	2
25	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.7199)	p1	a	25	false	A	A	2
26	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.7544)	p1	a	26	false	A	A	2
26	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.7315)	p1	a	26	false	A	A	2
27	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.766)	p1	a	27	false	A	A	2
27	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.7434)	p1	a	27	false	A	A	2
28	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.778)	p1	a	28	false	A	A	2
28	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.755)	p1	a	28	false	A	A	2
29	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.7896)	p1	a	29	false	A	A	2
29	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.7669)	p1	a	29	false	A	A	2
30	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.8014)	p1	a	30	false	A	A	2
30	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.7786)	p1	a	30	false	A	A	2
31	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.8134)	p1	a	31	false	A	A	2
31	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.7906)	p1	a	31	false	A	A	2
32	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.8251)	p1	a	32	false	A	A	2
32	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.8022)	p1	a	32	false	A	A	2
33	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.8368)	p1	a	33	false	A	A	2
33	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.8141)	p1	a	33	false	A	A	2
34	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.8485)	p1	a	34	false	A	A	2
34	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.8259)	p1	a	34	false	A	A	2
35	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.8603)	p1	a	35	false	A	A	2
35	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.8376)	p1	a	35	false	A	A	2
36	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.8719)	p1	a	36	false	A	A	2
36	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.8495)	p1	a	36	false	A	A	2
37	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.8837)	p1	a	37	false	A	A	2
37	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.8611)	p1	a	37	false	A	A	2
38	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.8955)	p1	a	38	false	A	A	2
38	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.8728)	p1	a	38	false	A	A	2
39	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.9073)	p1	a	39	false	A	A	2
39	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.8844)	p1	a	39	false	A	A	2
40	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.9191)	p1	a	40	false	A	A	2
40	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.8964)	p1	a	40	false	A	A	2
41	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.9311)	p1	a	41	false	A	A	2
41	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.9081)	p1	a	41	false	A	A	2
42	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.9428)	p1	a	42	false	A	A	2
42	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.9198)	p1	a	42	false	A	A	2
43	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.9547)	p1	a	43	false	A	A	2
43	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.9316)	p1	a	43	false	A	A	2
44	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.9665)	p1	a	44	false	A	A	2
44	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.9434)	p1	a	44	false	A	A	2
45	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.9785)	p1	a	45	false	A	A	2
45	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.9554)	p1	a	45	false	A	A	2
46	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.9907)	p1	a	46	false	A	A	2
46	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.9674)	p1	a	46	false	A	A	2
47	p1-1	(7, 3, 1)	p1	Dict("veg"=>100.002)	p1	a	47	false	A	A	2
47	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.9792)	p1	a	47	false	A	A	2
48	p1-1	(7, 3, 1)	p1	Dict("veg"=>100.014)	p1	a	48	false	A	A	2
48	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.9912)	p1	a	48	false	A	A	2
49	p1-1	(7, 3, 1)	p1	Dict("veg"=>100.026)	p1	a	49	false	A	A	2
49	p1-2	(33, 12, 1)	p1	Dict("veg"=>100.003)	p1	a	49	false	A	A	2
50	p1-1	(7, 3, 1)	p1	Dict("veg"=>100.038)	p1	a	50	false	A	A	2
50	p1-2	(33, 12, 1)	p1	Dict("veg"=>100.015)	p1	a	50	false	A	A	2
51	p1-1	(7, 3, 1)	p1	Dict("veg"=>100.038)	p1	a	51	false	A	A	2
51	p1-2	(33, 12, 1)	p1	Dict("veg"=>100.015)	p1	a	51	false	A	A	2
52	p1-1	(7, 3, 1)	p1	Dict("veg"=>100.038)	p1	a	52	false	A	A	2
52	p1-2	(33, 12, 1)	p1	Dict("veg"=>100.015)	p1	a	52	false	A	A	2
