week	id	location	sp	biomass	fgroup	stage	age	reped	chrm1	chrm2	radius
1	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5897)	p1	a	1	false	A	A	2
1	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5672)	p1	a	1	false	A	A	2
2	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6013)	p1	a	2	false	A	A	2
2	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5791)	p1	a	2	false	A	A	2
3	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6129)	p1	a	3	false	A	A	2
3	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5908)	p1	a	3	false	A	A	2
4	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6244)	p1	a	4	false	A	A	2
4	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6025)	p1	a	4	false	A	A	2
5	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6363)	p1	a	5	false	A	A	2
5	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6142)	p1	a	5	false	A	A	2
6	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.648)	p1	a	6	false	A	A	2
6	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.626)	p1	a	6	false	A	A	2
7	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6596)	p1	a	7	false	A	A	2
7	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6377)	p1	a	7	false	A	A	2
8	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6714)	p1	a	8	false	A	A	2
8	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6495)	p1	a	8	false	A	A	2
9	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6832)	p1	a	9	false	A	A	2
9	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6614)	p1	a	9	false	A	A	2
10	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6949)	p1	a	10	false	A	A	2
10	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6732)	p1	a	10	false	A	A	2
11	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.7069)	p1	a	11	false	A	A	2
11	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.685)	p1	a	11	false	A	A	2
12	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0115619,"veg"=>99.7069)	p1	a	12	false	A	A	2
12	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0116607,"veg"=>99.685)	p1	a	12	false	A	A	2
13	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0233192,"veg"=>99.7069)	p1	a	13	false	A	A	2
13	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.023331,"veg"=>99.685)	p1	a	13	false	A	A	2
14	p1-1	(7, 3, 1)	p1	Dict("reprd"=>-0.0346969,"veg"=>99.7069)	p1	a	14	false	A	A	2
14	p1-2	(33, 12, 1)	p1	Dict("reprd"=>-0.034981,"veg"=>99.685)	p1	a	14	false	A	A	2
14	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	1	false	A	A	2
14	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	1	false	A	A	2
15	p1-1	(7, 3, 1)	p1	Dict("reprd"=>-0.0230456,"veg"=>99.7069)	p1	a	15	false	A	A	2
15	p1-2	(33, 12, 1)	p1	Dict("reprd"=>-0.0230113,"veg"=>99.685)	p1	a	15	false	A	A	2
15	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	2	false	A	A	2
15	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	2	false	A	A	2
16	p1-1	(7, 3, 1)	p1	Dict("reprd"=>-0.0112524,"veg"=>99.7069)	p1	a	16	false	A	A	2
16	p1-2	(33, 12, 1)	p1	Dict("reprd"=>-0.0112386,"veg"=>99.685)	p1	a	16	false	A	A	2
16	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	3	false	A	A	2
16	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	3	false	A	A	2
17	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.000602725,"veg"=>99.7069)	p1	a	17	false	A	A	2
17	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.000430801,"veg"=>99.685)	p1	a	17	false	A	A	2
17	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	4	false	A	A	2
17	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	4	false	A	A	2
18	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0124236,"veg"=>99.7069)	p1	a	18	false	A	A	2
18	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.012202,"veg"=>99.685)	p1	a	18	false	A	A	2
18	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	5	false	A	A	2
18	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	5	false	A	A	2
19	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0241787,"veg"=>99.7069)	p1	a	19	false	A	A	2
19	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0238592,"veg"=>99.685)	p1	a	19	false	A	A	2
19	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	6	false	A	A	2
19	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	6	false	A	A	2
