week,meantemp,begin_date,week_year,week_inyear
1,-1,1857-01-01,1-1857,1
2,-1,1857-01-08,2-1857,2
3,-1,1857-01-15,3-1857,3
4,-1,1857-01-22,4-1857,4
5,0.2,1857-02-01,5-1857,5
6,0.2,1857-02-08,6-1857,6
7,0.2,1857-02-15,7-1857,7
8,0.2,1857-02-22,8-1857,8
9,3.5,1857-03-01,9-1857,9
10,3.5,1857-03-08,10-1857,10
11,3.5,1857-03-15,11-1857,11
12,3.5,1857-03-22,12-1857,12
13,7.4,1857-04-01,13-1857,13
14,7.4,1857-04-08,14-1857,14
15,7.4,1857-04-15,15-1857,15
16,7.4,1857-04-22,16-1857,16
17,7.4,1857-04-29,17-1857,17
18,13.2,1857-05-01,18-1857,18
19,13.2,1857-05-08,19-1857,19
20,13.2,1857-05-15,20-1857,20
21,13.2,1857-05-22,21-1857,21
22,17,1857-06-01,22-1857,22
23,17,1857-06-08,23-1857,23
24,17,1857-06-15,24-1857,24
25,17,1857-06-22,25-1857,25
26,18.3,1857-07-01,26-1857,26
27,18.3,1857-07-08,27-1857,27
28,18.3,1857-07-15,28-1857,28
29,18.3,1857-07-22,29-1857,29
30,18.3,1857-07-29,30-1857,30
31,19,1857-08-01,31-1857,31
32,19,1857-08-08,32-1857,32
33,19,1857-08-15,33-1857,33
34,19,1857-08-22,34-1857,34
35,15.3,1857-09-01,35-1857,35
36,15.3,1857-09-08,36-1857,36
37,15.3,1857-09-15,37-1857,37
38,15.3,1857-09-22,38-1857,38
39,15.3,1857-09-29,39-1857,39
40,11.2,1857-10-01,40-1857,40
41,11.2,1857-10-08,41-1857,41
42,11.2,1857-10-15,42-1857,42
43,11.2,1857-10-22,43-1857,43
44,3.5,1857-11-01,44-1857,44
45,3.5,1857-11-08,45-1857,45
46,3.5,1857-11-15,46-1857,46
47,3.5,1857-11-22,47-1857,47
48,2.6,1857-12-01,48-1857,48
49,2.6,1857-12-08,49-1857,49
50,2.6,1857-12-15,50-1857,50
51,2.6,1857-12-22,51-1857,51
52,2.6,1857-12-29,52-1857,52
53,-2.3,1858-01-01,1-1858,1
54,-2.3,1858-01-08,2-1858,2
55,-2.3,1858-01-15,3-1858,3
56,-2.3,1858-01-22,4-1858,4
57,-2.4,1858-02-01,5-1858,5
58,-2.4,1858-02-08,6-1858,6
59,-2.4,1858-02-15,7-1858,7
60,-2.4,1858-02-22,8-1858,8
61,1.6,1858-03-01,9-1858,9
62,1.6,1858-03-08,10-1858,10
63,1.6,1858-03-15,11-1858,11
64,1.6,1858-03-22,12-1858,12
65,7,1858-04-01,13-1858,13
66,7,1858-04-08,14-1858,14
