"species","sp_id"
"Plantago_media","p-1"
"Hippocrepis_comosa","p-2"
"Falcaria_vulgaris","p-3"
"Vicia_villosa","p-4"
"Plantago_major","p-5"
"Actaea_spicata","p-6"
"Euphorbia_cyparissias","p-7"
"Carex_flacca","p-8"
"Trifolium_pratense","p-9"
"Cichorium_intybus","p-10"
"Platanthera_chlorantha","p-11"
"Ononis_spinosa","p-12"
"Lolium_perenne","p-13"
"Medicago_falcata","p-14"
"Sedum_sexangulare","p-15"
"Avenula_pubescens","p-16"
"Galium_aparine","p-17"
"Sanguisorba_minor","p-18"
"Epilobium_montanum","p-19"
"Festuca_pratensis","p-20"
"Vincetoxicum_hirundinaria","p-21"
"Melampyrum_sylvaticum","p-22"
"Heracleum_sphondylium","p-23"
"Carduus_crispus","p-24"
"Ajuga_genevensis","p-25"
"Pimpinella_saxifraga","p-26"
"Geranium_dissectum","p-27"
"Hieracium_pilosella","p-28"
"Stellaria_holostea","p-29"
"Mentha_verticillata","p-30"
"Poa_pratensis","p-31"
"Onobrychis_viciifolia","p-32"
"Veronica_chamaedrys","p-33"
"Convolvulus_arvensis","p-34"
"Veronica_teucrium","p-35"
"Cirsium_oleraceum","p-36"
"Sonchus_asper","p-37"
"Cerinthe_minor","p-38"
"Valeriana_dioica","p-39"
"Koeleria_pyramidata","p-40"
"Aegopodium_podagraria","p-41"
"Senecio_erucifolius","p-42"
"Tragopogon_pratensis","p-43"
"Cirsium_tuberosum","p-44"
"Vicia_hirsuta","p-45"
"Ranunculus_repens","p-46"
"Vicia_tetrasperma","p-47"
"Viola_odorata","p-48"
"Poa_annua","p-49"
"Briza_media","p-50"
"Holcus_lanatus","p-51"
"Cirsium_vulgare","p-52"
"Taraxacum_officinale","p-53"
"Bromus_erectus","p-54"
"Trifolium_medium","p-55"
"Prunella_grandiflora","p-56"
"Anchusa_arvensis","p-57"
"Plantago_lanceolata","p-58"
"Cephalanthera_rubra","p-59"
"Vicia_tenuifolia","p-60"
"Scabiosa_columbaria","p-61"
"Campanula_persicifolia","p-62"
"Lotus_corniculatus","p-63"
"Achillea_millefolium","p-64"
"Myosotis_arvensis","p-65"
"Alopecurus_pratensis","p-66"
"Arabis_hirsuta","p-67"
"Rhinanthus_minor","p-68"
"Myosotis_sylvatica","p-69"
"Galium_pumilum","p-70"
"Anthyllis_vulneraria","p-71"
"Primula_veris","p-72"
"Phleum_pratense","p-73"
"Senecio_ovatus","p-74"
"Centaurea_jacea","p-75"
"Triticum_aestivum","p-76"
"Carex_leporina","p-77"
"Galium_verum","p-78"
"Filipendula_vulgaris","p-79"
"Chaerophyllum_hirsutum","p-80"
"Salvia_pratensis","p-81"
"Silene_dioica","p-82"
"Centaurea_scabiosa","p-83"
"Senecio_vulgaris","p-84"
"Campanula_glomerata","p-85"
"Clinopodium_vulgare","p-86"
"Polygala_comosa","p-87"
"Campanula_rotundifolia","p-88"
"Ophrys_apifera","p-89"
"Symphytum_officinale","p-90"
"Tanacetum_vulgare","p-91"
"Antennaria_dioica","p-92"
"Bromus_hordeaceus","p-93"
"Rumex_crispus","p-94"
"Bellis_perennis","p-95"
"Linum_catharticum","p-96"
"Carlina_vulgaris","p-97"
"Senecio_jacobaea","p-98"
"Lathyrus_pratensis","p-99"
"Helianthemum_nummularium","p-100"
"Viola_hirta","p-101"
"Crepis_biennis","p-102"
"Leucanthemum_vulgare","p-103"
"Orchis_mascula","p-104"
"Ophrys_insectifera","p-105"
"Fragaria_viridis","p-106"
"Cerastium_holosteoides","p-107"
"Cerastium_arvense","p-108"
"Potentilla_reptans","p-109"
"Hieracium_murorum","p-110"
"Melilotus_alba","p-111"
"Trifolium_repens","p-112"
"Calystegia_sepium","p-113"
"Ononis_repens","p-114"
"Rumex_acetosa","p-115"
"Hypericum_perforatum","p-116"
"Taraxacum_laevigatum","p-117"
"Dactylis_glomerata","p-118"
"Elytrigia_repens","p-119"
"Stellaria_media","p-120"
"Rhinanthus_angustifolius","p-121"
"Anthriscus_sylvestris","p-122"
"Gymnadenia_conopsea","p-123"
"Melampyrum_arvense","p-124"
"Orchis_tridentata","p-125"
"Gentianella_ciliata","p-126"
"Vicia_cracca","p-127"
"Chaerophyllum_temulum","p-128"
"Echium_vulgare","p-129"
"Carex_ornithopoda","p-130"
"Stachys_germanica","p-131"
"Mentha_arvensis","p-132"
"Astragalus_glycyphyllos","p-133"
"Inula_conyzae","p-134"
"Carex_caryophyllea","p-135"
"Origanum_vulgare","p-136"
"Trisetum_flavescens","p-137"
"Knautia_arvensis","p-138"
"Cynosurus_cristatus","p-139"
"Brachypodium_pinnatum","p-140"
"Trifolium_ochroleucon","p-141"
"Fragaria_vesca","p-142"
"Anthoxanthum_odoratum","p-143"
"Potentilla_neumanniana","p-144"
"Agrimonia_eupatoria","p-145"
"Valeriana_officinalis","p-146"
"Festuca_rubra","p-147"
"Equisetum_arvense","p-148"
"Polygala_vulgaris","p-149"
"Allium_schoenoprasum","p-150"
"Cirsium_acaule","p-151"
"Silene_nutans","p-152"
"Hieracium_caespitosum","p-153"
"Orchis_purpurea","p-154"
"Potentilla_anserina","p-155"
"Orchis_militaris","p-156"
"Ajuga_reptans","p-157"
"Festuca_ovina","p-158"
"Cruciata_laevipes","p-159"
"Geranium_robertianum","p-160"
"Melampyrum_nemorosum","p-161"
"Verbascum_lychnitis","p-162"
"Artemisia_vulgaris","p-163"
"Galeopsis_ladanum","p-164"
"Geranium_molle","p-165"
"Listera_ovata","p-166"
"Medicago_lupulina","p-167"
"Trifolium_dubium","p-168"
"Vicia_sepium","p-169"
"Poa_trivialis","p-170"
"Campanula_rapunculoides","p-171"
"Geum_urbanum","p-172"
"Melilotus_officinalis","p-173"
"Geranium_pusillum","p-174"
"Gentianella_germanica","p-175"
"Prunella_vulgaris","p-176"
"Daucus_carota","p-177"
"Cirsium_arvense","p-178"
"Acinos_arvensis","p-179"
"Geranium_pratense","p-180"
"Euphrasia_officinalis","p-181"
"Phalaris_arundinacea","p-182"
"Ranunculus_bulbosus","p-183"
"Centaurium_erythraea","p-184"
"Epilobium_angustifolium","p-185"
"Thymus_pulegioides","p-186"
"Arrhenatherum_elatius","p-187"
"Trifolium_campestre","p-188"
"Leontodon_hispidus","p-189"
"Cardaminopsis_arenosa","p-190"
"Hieracium_lachenalii","p-191"
"Cerastium_tomentosum","p-192"
"Genista_tinctoria","p-193"
"Galium_mollugo","p-194"
