"sp_id","kernel","kernel_sd","e_mu","e_sd","b0g","b0g_sd","b0em","b0em_sd","b0am","b0am_sd","b0jg","b0jg_sd","b0ag","b0ag_sd","sestra","dyad","floron","floron_sd","floroff","floroff_sd","seedon","seedon_sd","seedoff","seedoff_sd","max_mass","min_mass","min_mass_sd","max_span","max_span_sd","mass_mu","mass_sd","abund"
"p-1","w",0.1,0.0159701571557671,0.007,14882255362707.2,1.80348e+12,1423469704475.17,1.20232e+12,51849055788.8967,57032400000,1716357105.04785,2010780000,316807236.771782,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,17
"p-2","w",0.1,0.0171328692785464,0.007,13019159076402.2,1.80348e+12,1578082836276.74,1.80348e+12,42480944028.0318,38021600000,1607464281.50576,1340520000,365533911.941757,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,15
"p-3","wa",0.1,0.0355271770602558,0.007,16140453001045.7,1.80348e+12,1796189336485.05,1.80348e+12,55478014825.1968,57032400000,1809860491.99442,2010780000,387781180.880341,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,4
"p-4","w",0.1,0.0437659515552223,0.07,15656277274403,1.80348e+12,1766985641710.38,1.80348e+12,38218563413.2511,38021600000,1467245352.40777,1340520000,332288897.78808,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,8
"p-5","wa",0.1,0.0688445398411714,0.07,15588491030199,1.80348e+12,1584671041852.2,1.80348e+12,44020130742.5953,38021600000,1353771195.25176,1340520000,386208800.71447,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,16
"p-6","a",0.1,0.0440878190405201,0.07,15791217795372.3,1.80348e+12,1765375105570.83,1.80348e+12,55376117378.5277,57032400000,1627944568.20805,1340520000,363478772.85898,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,7
"p-7","a",0.1,0.0432321811423171,0.07,12458697390059.9,1.80348e+12,1785039232914.14,1.80348e+12,45001953644.8064,38021600000,1365913544.49081,1340520000,325154252.168259,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,14
"p-8","a",0.1,0.0539415499006864,0.07,15775028829410.2,1.80348e+12,1403688900675.21,1.20232e+12,42796178229.0041,38021600000,1661902063.55507,1340520000,377301630.647675,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,15
"p-9","w",0.1,0.0405045302973595,0.07,12338066600182.1,1.80348e+12,1662519530465.74,1.80348e+12,48569969939.5233,57032400000,1685865622.02615,2010780000,395244247.131181,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,16
"p-10","a",0.1,0.0386462673116475,0.07,16824445790521.3,1.80348e+12,1641723876597.89,1.80348e+12,56466797534.6921,57032400000,1426484698.71816,1340520000,312679008.828722,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,6
"p-11","w",0.1,0.0656639157524332,0.07,16653012853884.8,1.80348e+12,1278785072031.49,1.20232e+12,54756543080.0729,57032400000,1770692321.2427,2010780000,355160462.068853,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,20
"p-12","a",0.1,0.0162433363888413,0.007,13188190088312.9,1.80348e+12,1514434808309.67,1.80348e+12,55329240576.0322,57032400000,1811291365.82281,2010780000,269597506.271129,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,13
