week,meantemp_ts,sdtemp_ts,meanprec_ts,sdprec_ts
1,0.300,0.1,0,0
2,0.300,0.1,0,0
3,0.300,0.1,0,0
4,0.300,0.1,0,0
5,1.000,0.1,0,0
6,1.000,0.1,0,0
7,1.000,0.1,0,0
8,1.000,0.1,0,0
9,4.100,0.1,0,0
10,4.100,0.1,0,0
11,4.100,0.1,0,0
12,4.100,0.1,0,0
13,8.000,0.1,0,0
14,8.000,0.1,0,0
15,8.000,0.1,0,0
16,8.000,0.1,0,0
17,12.600,0.1,0,0
18,12.600,0.1,0,0
19,12.600,0.1,0,0
20,12.600,0.1,0,0
21,15.700,0.1,0,0
22,15.700,0.1,0,0
23,15.700,0.1,0,0
24,15.700,0.1,0,0
25,17.100,0.1,0,0
26,17.100,0.1,0,0
27,17.100,0.1,0,0
28,17.100,0.1,0,0
29,16.700,0.1,0,0
30,16.700,0.1,0,0
31,16.700,0.1,0,0
32,16.700,0.1,0,0
33,13.500,0.1,0,0
34,13.500,0.1,0,0
35,13.500,0.1,0,0
36,13.500,0.1,0,0
37,11.500,0.1,0,0
38,9.500,0.1,0,0
39,9.500,0.1,0,0
40,9.500,0.1,0,0
41,9.500,0.1,0,0
42,7.100,0.1,0,0
43,4.700,0.1,0,0
44,4.700,0.1,0,0
45,4.700,0.1,0,0
46,4.700,0.1,0,0
47,3.150,0.1,0,0
48,1.600,0.1,0,0
49,1.600,0.1,0,0
50,1.600,0.1,0,0
51,1.600,0.1,0,0
52,0.950,0.1,0,0
