week,meantemp_ts,sdtemp_ts,meanprec_ts,sdprec_ts
1,0.300,0.1,0,0.1
2,0.300,0.1,0,0.1
3,0.300,0.1,0,0.1
4,0.300,0.1,0,0.1
5,1.000,0.1,0,0.1
6,1.000,0.1,0,0.1
7,1.000,0.1,0,0.1
8,1.000,0.1,0,0.1
9,4.100,0.1,0,0.1
10,4.100,0.1,0,0.1
11,4.100,0.1,0,0.1
12,4.100,0.1,0,0.1
13,8.000,0.1,0,0.1
14,8.000,0.1,0,0.1
15,8.000,0.1,0,0.1
16,8.000,0.1,0,0.1
17,12.600,0.1,0,0.1
18,12.600,0.1,0,0.1
19,12.600,0.1,0,0.1
20,12.600,0.1,0,0.1
21,15.700,0.1,0,0.1
22,15.700,0.1,0,0.1
23,15.700,0.1,0,0.1
24,15.700,0.1,0,0.1
25,17.100,0.1,0,0.1
26,17.100,0.1,0,0.1
27,17.100,0.1,0,0.1
28,17.100,0.1,0,0.1
29,16.700,0.1,0,0.1
30,16.700,0.1,0,0.1
31,16.700,0.1,0,0.1
32,16.700,0.1,0,0.1
33,13.500,0.1,0,0.1
34,13.500,0.1,0,0.1
35,13.500,0.1,0,0.1
36,13.500,0.1,0,0.1
37,11.500,0.1,0,0.1
38,9.500,0.1,0,0.1
39,9.500,0.1,0,0.1
40,9.500,0.1,0,0.1
41,9.500,0.1,0,0.1
42,7.100,0.1,0,0.1
43,4.700,0.1,0,0.1
44,4.700,0.1,0,0.1
45,4.700,0.1,0,0.1
46,4.700,0.1,0,0.1
47,3.150,0.1,0,0.1
48,1.600,0.1,0,0.1
49,1.600,0.1,0,0.1
50,1.600,0.1,0,0.1
51,1.600,0.1,0,0.1
52,0.950,0.1,0,0.1
