"species","kernel","clonality","seedmass","maxmass","span_min","span_max","firstflower_min","firstflower_max","bankduration_max","bankduration_min","seednumber_min","seednumber_max","b0grow_min","b0grow_max","b0germ_min","b0germ_max","b0mort_min","b0mort_max","floron_min","floron_max","floroff_min","floroff_max","seedon_min","seedon_max","seedoff_min","seedoff_max"
"Achillea millefolium","any",TRUE,0.0003,2,260,2600,18.772773321718,105.595880214125,107.642257423954,3.8755406702403,190,7200,0.06580373,0.072384103,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
"Acinos arvensis","any",TRUE,0.001,5,52,260,18.772773321718,105.595880214125,385.780391125008,3.8755406702403,342,342,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
"Actaea spicata","long",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,108,1900,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
"Aegopodium podagraria","long-short",TRUE,0.001,5,260,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,46.5,10700,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
"Agrimonia eupatoria","any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,149.45825105533,3.8755406702403,66,66,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
"Ajuga genevensis","any",TRUE,0.001,5,1560,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,221,221,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
"Ajuga reptans","short-medium",TRUE,0.001,5,1560,2600,105.595880214125,105.595880214125,133.296981730843,3.8755406702403,36,105,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
"Allium schoenoprasum","short-long",TRUE,0.001,5,260,1560,105.595880214125,105.595880214125,163.081270062386,3.8755406702403,4149,4149,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
"Alopecurus pratensis","any",TRUE,0.001,5,1560,1560,18.772773321718,105.595880214125,163.372787868322,3.8755406702403,414,414,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
"Anchusa arvensis","long-medium",FALSE,0.001,5,52,104,18.772773321718,105.595880214125,149.45825105533,3.8755406702403,128,700,0.08891401,0.097805411,141363714.221475,155500085.643623,159034178.499159,174937596.349075,12,16,18,36,20,24,26,36
