"species","kernel","emass","elong_mean","elong_sd","floron_mean","floron_sd","floroff_mean","floroff_sd","seedon_mean","seedon_sd","seedoff_mean","seedoff_sd","span_mean","span_sd","b0grow_mean","b0grow_sd","b0m_mean","b0m_sd","b0germ_mean","b0germ_sd","maxseedn_mean","maxseedn_sd","maxmass"
"Achillea_millefolium","w",0.0001,13,0.433333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1813,60.4333333333334,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,822,27.4,1
"Acinos_arvensis","w",0.001,15,0.5,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,104,3.46666666666667,5250000000,175000000,1650000000,55000000,1650000000,55000000,342,11.4,5
"Actaea_spicata","wa",0.001,9,0.3,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,12,0.4,5
"Aegopodium_podagraria","w",0.001,7,0.233333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1290,43,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,199,6.63333333333334,5
"Agrimonia_eupatoria","wa",0.001,25,0.833333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,2,0.0666666666666667,5
"Ajuga_genevensis","wa",0.001,13,0.433333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,221,7.36666666666667,5
"Ajuga_reptans","wa",0.001,13,0.433333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,2340,78,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,21,0.7,5
"Allium_schoenoprasum","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,884,29.4666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,162,5.4,5
"Alopecurus_pratensis","wa",0.001,17,0.566666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,414,13.8,5
"Anchusa_arvensis","a",0.001,11,0.366666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,70,2.33333333333333,5250000000,175000000,1650000000,55000000,1650000000,55000000,4,0.133333333333333,5
"Antennaria_dioica","wa",0.0001,4,0.133333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,2340,78,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,280,9.33333333333333,1
"Anthoxanthum_odoratum","wa",0.001,9,0.3,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,14,0.466666666666667,5
"Anthriscus_sylvestris","wa",0.001,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,702,23.4,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,229,7.63333333333334,5
"Anthyllis_vulneraria","wa",0.001,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,968,32.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,16,0.533333333333334,5
"Arabis_hirsuta","w",0.0001,6,0.2,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,624,20.8,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,750,25,1
"Arrhenatherum_elatius","wa",0.001,16,0.533333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,10,0.333333333333333,5
"Artemisia_vulgaris","wa",0.0003,7,0.233333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1222,40.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,2
"Astragalus_glycyphyllos","w",0.001,11,0.366666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1222,40.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Avenula_pubescens","wa",0.001,9,0.3,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,47,1.56666666666667,5
"Brachypodium_pinnatum","wa",0.001,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,208,6.93333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,87,2.9,5
"Bellis_perennis","a",0.0003,15,0.5,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,125,4.16666666666667,2
"Briza_media","w",0.001,11,0.366666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1110,37,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,3743,124.766666666667,5
"Bromus_erectus","wa",0.001,15,0.5,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Bromus_hordeaceus","wa",0.001,18,0.6,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,78,2.6,5250000000,175000000,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Calystegia_sepium","w",0.001,21,0.7,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Campanula_glomerata","w",0.0003,2,0.0666666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1058,35.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,2
