"sp","kernels","biomass_mean","biomass_sd","abund","repro_unit","mean_number","diaspore","mean_mass","span","max_span","growth_form"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"generative dispersule",0.07,NA,NA,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"generative dispersule",0.07,NA,NA,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"generative dispersule",0.07,"perennials",5,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"generative dispersule",0.07,"perennials",5,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"generative dispersule",0.07,"perennials",50,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"generative dispersule",0.07,"perennials",50,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"germinule",0.131885714285714,NA,NA,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"germinule",0.131885714285714,NA,NA,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"germinule",0.131885714285714,"perennials",5,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"germinule",0.131885714285714,"perennials",5,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"germinule",0.131885714285714,"perennials",50,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"germinule",0.131885714285714,"perennials",50,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"one-seeded generative dispersule",0.1472,NA,NA,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"one-seeded generative dispersule",0.1472,NA,NA,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"one-seeded generative dispersule",0.1472,"perennials",5,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"one-seeded generative dispersule",0.1472,"perennials",5,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"one-seeded generative dispersule",0.1472,"perennials",50,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"individual",885.53,"one-seeded generative dispersule",0.1472,"perennials",50,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"generative dispersule",0.07,NA,NA,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"generative dispersule",0.07,NA,NA,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"generative dispersule",0.07,"perennials",5,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"generative dispersule",0.07,"perennials",5,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"generative dispersule",0.07,"perennials",50,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"generative dispersule",0.07,"perennials",50,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"germinule",0.131885714285714,NA,NA,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"germinule",0.131885714285714,NA,NA,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"germinule",0.131885714285714,"perennials",5,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"germinule",0.131885714285714,"perennials",5,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"germinule",0.131885714285714,"perennials",50,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"germinule",0.131885714285714,"perennials",50,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"one-seeded generative dispersule",0.1472,NA,NA,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"one-seeded generative dispersule",0.1472,NA,NA,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"one-seeded generative dispersule",0.1472,"perennials",5,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"one-seeded generative dispersule",0.1472,"perennials",5,"Hemicryptophyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"one-seeded generative dispersule",0.1472,"perennials",50,"Chamaephyte"
"Achillea millefolium","wind",100,0.5,2,"m2",NA,"one-seeded generative dispersule",0.1472,"perennials",50,"Hemicryptophyte"
