"week","meantemp","sdtemp_ts","meanprec_ts","sdprec_ts"
1,-2.3,0.00001,0,0.00001
2,-2.3,0.00001,0,0.00001
3,-2.3,0.00001,0,0.00001
4,-2.3,0.00001,0,0.00001
5,-2.3,0.00001,0,0.00001
6,-4.6,0.00001,0,0.00001
7,-4.6,0.00001,0,0.00001
8,-4.6,0.00001,0,0.00001
9,-4.6,0.00001,0,0.00001
10,0.5,0.00001,0,0.00001
11,0.5,0.00001,0,0.00001
12,0.5,0.00001,0,0.00001
13,0.5,0.00001,0,0.00001
14,4.9,0.00001,0,0.00001
15,4.9,0.00001,0,0.00001
16,4.9,0.00001,0,0.00001
17,4.9,0.00001,0,0.00001
18,4.9,0.00001,0,0.00001
19,15.8,0.00001,0,0.00001
20,15.8,0.00001,0,0.00001
21,15.8,0.00001,0,0.00001
22,15.8,0.00001,0,0.00001
23,19.4,0.00001,0,0.00001
24,19.4,0.00001,0,0.00001
25,19.4,0.00001,0,0.00001
26,19.4,0.00001,0,0.00001
27,17.7,0.00001,0,0.00001
28,17.7,0.00001,0,0.00001
29,17.7,0.00001,0,0.00001
30,17.7,0.00001,0,0.00001
31,17.7,0.00001,0,0.00001
32,16.8,0.00001,0,0.00001
33,16.8,0.00001,0,0.00001
34,16.8,0.00001,0,0.00001
35,16.8,0.00001,0,0.00001
36,14.5,0.00001,0,0.00001
37,14.5,0.00001,0,0.00001
38,14.5,0.00001,0,0.00001
39,14.5,0.00001,0,0.00001
40,7.5,0.00001,0,0.00001
41,7.5,0.00001,0,0.00001
42,7.5,0.00001,0,0.00001
43,7.5,0.00001,0,0.00001
44,7.5,0.00001,0,0.00001
45,6,0.00001,0,0.00001
46,6,0.00001,0,0.00001
47,6,0.00001,0,0.00001
48,6,0.00001,0,0.00001
49,-1.4,0.00001,0,0.00001
50,-1.4,0.00001,0,0.00001
51,-1.4,0.00001,0,0.00001
52,-1.4,0.00001,0,0.00001
53,1.9,0.00001,0,0.00001
54,1.9,0.00001,0,0.00001
55,1.9,0.00001,0,0.00001
56,1.9,0.00001,0,0.00001
57,1.9,0.00001,0,0.00001
58,2.9,0.00001,0,0.00001
59,2.9,0.00001,0,0.00001
60,2.9,0.00001,0,0.00001
61,2.9,0.00001,0,0.00001
62,4.7,0.00001,0,0.00001
63,4.7,0.00001,0,0.00001
64,4.7,0.00001,0,0.00001
65,4.7,0.00001,0,0.00001
66,9.8,0.00001,0,0.00001
67,9.8,0.00001,0,0.00001
68,9.8,0.00001,0,0.00001
69,9.8,0.00001,0,0.00001
70,9.8,0.00001,0,0.00001
71,14.5,0.00001,0,0.00001
72,14.5,0.00001,0,0.00001
73,14.5,0.00001,0,0.00001
74,14.5,0.00001,0,0.00001
75,13.3,0.00001,0,0.00001
76,13.3,0.00001,0,0.00001
77,13.3,0.00001,0,0.00001
78,13.3,0.00001,0,0.00001
79,16.7,0.00001,0,0.00001
80,16.7,0.00001,0,0.00001
81,16.7,0.00001,0,0.00001
82,16.7,0.00001,0,0.00001
83,16.7,0.00001,0,0.00001
84,15.9,0.00001,0,0.00001
85,15.9,0.00001,0,0.00001
86,15.9,0.00001,0,0.00001
87,15.9,0.00001,0,0.00001
88,13.2,0.00001,0,0.00001
89,13.2,0.00001,0,0.00001
90,13.2,0.00001,0,0.00001
91,13.2,0.00001,0,0.00001
92,8.5,0.00001,0,0.00001
93,8.5,0.00001,0,0.00001
94,8.5,0.00001,0,0.00001
95,8.5,0.00001,0,0.00001
96,8.5,0.00001,0,0.00001
97,3.8,0.00001,0,0.00001
98,3.8,0.00001,0,0.00001
99,3.8,0.00001,0,0.00001
100,3.8,0.00001,0,0.00001
101,5,0.00001,0,0.00001
102,5,0.00001,0,0.00001
103,5,0.00001,0,0.00001
104,5,0.00001,0,0.00001
105,0.9,0.00001,0,0.00001
106,0.9,0.00001,0,0.00001
107,0.9,0.00001,0,0.00001
108,0.9,0.00001,0,0.00001
109,0.9,0.00001,0,0.00001
110,1,0.00001,0,0.00001
111,1,0.00001,0,0.00001
112,1,0.00001,0,0.00001
113,1,0.00001,0,0.00001
114,3.8,0.00001,0,0.00001
115,3.8,0.00001,0,0.00001
116,3.8,0.00001,0,0.00001
117,3.8,0.00001,0,0.00001
118,6,0.00001,0,0.00001
119,6,0.00001,0,0.00001
120,6,0.00001,0,0.00001
121,6,0.00001,0,0.00001
122,6,0.00001,0,0.00001
123,12.2,0.00001,0,0.00001
124,12.2,0.00001,0,0.00001
125,12.2,0.00001,0,0.00001
126,12.2,0.00001,0,0.00001
127,15.2,0.00001,0,0.00001
128,15.2,0.00001,0,0.00001
129,15.2,0.00001,0,0.00001
130,15.2,0.00001,0,0.00001
131,14.4,0.00001,0,0.00001
132,14.4,0.00001,0,0.00001
133,14.4,0.00001,0,0.00001
