kernel,clonality,seedmass,compartsize,span_min,span_max,firstflower_min,firstflower_max,bankduration_max,bankduration_min,seednumber_min,seednumber_max,b0grow,b0germ,b0mort,floron,floroff,seedon,seedoff,temp_opt,temp_tol,abund,sp_id
any,TRUE,0.0003,2,1019.2834157615,1478.5259511073,18.7727733217,105.5958802141,120.4934639764,7.1107120121,47.5,1800,8306096743,141363714.221475,1113239249.49412,23,44,43,47,285.6251028807,9.5666666667,45,p-1
long-short,TRUE,0.001,5,817.7692115878,1109.0634739186,105.5958802141,105.5958802141,385.780391125,3.8755406702,11.625,2675,11223199206,141363714.221475,1113239249.49412,23,31,30,34,280.6411157025,9.1166666667,41,p-2
any,TRUE,0.001,5,1560,1560,105.5958802141,105.5958802141,149.4582510553,3.8755406702,16.5,16.5,11223199206,141363714.221475,1113239249.49412,23,40,39,43,280.4204781705,8.95,65,p-3
any,TRUE,0.001,5,1560,1560,105.5958802141,105.5958802141,385.780391125,3.8755406702,55.25,55.25,11223199206,141363714.221475,1113239249.49412,14,26,25,29,281.5398104265,8,25,p-4
short-medium,TRUE,0.001,5,1560,2600,105.5958802141,105.5958802141,115.8471350831,7.1107120121,9,26.25,11223199206,141363714.221475,1113239249.49412,18,35,34,38,283.340376569,8.0833333333,58,p-5
short-long,TRUE,0.001,5,1120.1826136846,1364.5342721906,105.5958802141,105.5958802141,151.8295856417,7.1107120121,1037.25,1037.25,11223199206,141363714.221475,1113239249.49412,23,35,34,38,280.3544585987,9.1833333333,59,p-6
long-short,TRUE,0.001,5,1560,1560,18.7727733217,105.5958802141,157.8709505144,7.1107120121,103.5,103.5,11223199206,141363714.221475,1113239249.49412,18,26,25,29,280.7220647773,8.7666666667,85,p-7
,TRUE,0.001,5,1089.0366488845,1353.7071126828,105.5958802141,105.5958802141,152.1827819475,7.1107120121,2578.75,2578.75,11223199206,141363714.221475,1113239249.49412,23,31,30,34,279.8321576763,8.4166666667,64,p-9
any,TRUE,0.0003,2,1560,1560,105.5958802141,105.5958802141,91.0323776573,7.1107120121,322,322,8306096743,141363714.221475,1113239249.49412,0,49,48,52,283.4845755694,7.4166666667,34,p-10
short-long,TRUE,0.001,5,818.3156518715,1143.6805403401,18.7727733217,105.5958802141,180.5099850652,7.1107120121,44.75,1827,11223199206,141363714.221475,1113239249.49412,18,26,25,29,279.9232251521,8.7333333333,70,p-11
any,TRUE,0.0003,2,781.7607045094,1391.6849814581,18.7727733217,105.5958802141,124.1177671865,7.1107120121,5113.3643081113,17367.3980949484,8306096743,141363714.221475,1113239249.49412,23,40,39,43,279.5600823045,9.6833333333,91,p-12
